FID,ID,NOMBRE,DESCRIPCION,DIRECCION,SDOGEOMETRIA,URL,EMAIL,CONTACTO,HORARIOS,PRECIOS,TITULARIDAD,TARJETAJOVEN,ACCESOPMR,NROPLAZAS,TOTALPLAZAS
da_aparcamientosMovilidadReducida.fid--175d4967_1a00d91a118_-6c82,66530,APARCAPMR_632,Esquina con c/ Gabriel y Galán,"CALLE OCTAVIO PICÓN, 24 ",POINT (377852.813687942 4065190.41906613),,,,,,MUNICIPAL,No,No,2,2028
da_aparcamientosMovilidadReducida.fid--175d4967_1a00d91a118_-6c81,67052,APARCAPMR_239,Esquina con Pasaje Miramar del Palo,"CALLE ESCULTOR MARÍN HIGUERO, 4 ",POINT (378153.537211992 4064832.41955251),,,,,,MUNICIPAL,No,No,2,2028
da_aparcamientosMovilidadReducida.fid--175d4967_1a00d91a118_-6c80,67009,APARCAPMR_445,A la altura del nº 6,"CALLE BORDE ALEGRE, 8 ",POINT (373128.390372283 4068105.82470235),,,,,,MUNICIPAL,No,No,2,2028
da_aparcamientosMovilidadReducida.fid--175d4967_1a00d91a118_-6c7f,66837,APARCAPMR_1287,C/ Domingo Lozano esq. C/ Berrocal,"CALLE DOMINGO LOZANO, 30 ",POINT (371703.999561103 4065426.00060821),,,,,,MUNICIPAL,No,No,1,2028
da_aparcamientosMovilidadReducida.fid--175d4967_1a00d91a118_-6c7e,66752,APARCAPMR_984,Esquina Plaza Donizetti,"CALLE DE HELIO, 6 ",POINT (367084.917862124 4067501.18586397),,,,,,MUNICIPAL,No,No,1,2028
da_aparcamientosMovilidadReducida.fid--175d4967_1a00d91a118_-6c7d,66237,APARCAPMR_748,"El dia 27 de agosto se amplia una plaza.
","AVENIDA DE ANDERSEN, 24 ",POINT (367636.114682238 4066732.86112463),,,,,,MUNICIPAL,No,No,2,2028
da_aparcamientosMovilidadReducida.fid--175d4967_1a00d91a118_-6c7c,66812,APARCAPMR_990,Intersección con la calle Águila,"CALLE CRISTO DE LOS MILAGROS, 16 ",POINT (367652.000491808 4066232.15115007),,,,,,MUNICIPAL,No,No,1,2028
da_aparcamientosMovilidadReducida.fid--175d4967_1a00d91a118_-6c7b,76811,APARCAPMR_1257,,"CALLE CANARIOS, 9 ",POINT (367787.825225761 4066419.21942369),,,,,,MUNICIPAL,No,No,1,2028
da_aparcamientosMovilidadReducida.fid--175d4967_1a00d91a118_-6c7a,76812,APARCAPMR_666,,"CALLE PLAUTO, 3 ",POINT (367482.502321782 4066709.81627071),,,,,,MUNICIPAL,No,No,1,2028
da_aparcamientosMovilidadReducida.fid--175d4967_1a00d91a118_-6c79,66219,APARCAPMR_1151,Esq. Cl. Petunia.,"CALLE PLAUTO, 20 ",POINT (367327.999990841 4066480.99967286),,,,,,MUNICIPAL,No,No,1,2028
da_aparcamientosMovilidadReducida.fid--175d4967_1a00d91a118_-6c78,66694,APARCAPMR_581,Junto a la biblioteca. Frente al nº 2,"PLAZA DE EL SALVADOR, 4 ",POINT (359962.250303594 4066228.20268976),,,,,,MUNICIPAL,No,No,2,2028
da_aparcamientosMovilidadReducida.fid--175d4967_1a00d91a118_-6c77,66678,APARCAPMR_570,Esquina Mercedes Llopart. Frente al colegio Féliz Revollo de Toro,"AVENIDA MARÍA VICTORIA ATENCIA, 1 ",POINT (367768.005143761 4065523.57065936),,,,,,MUNICIPAL,No,No,2,2028
da_aparcamientosMovilidadReducida.fid--175d4967_1a00d91a118_-6c76,66698,APARCAPMR_979,Esquina calle Montazgo,"CARRIL DE SEGOVIA, 26 ",POINT (362125.074607769 4065589.74173167),,,,,,MUNICIPAL,No,No,1,2028
da_aparcamientosMovilidadReducida.fid--175d4967_1a00d91a118_-6c75,67280,APARCAPMR_494,Esquina con c/ Mateo Flecha,"CALLE DE PENÉLOPE, 48 ",POINT (361615.59671108 4065807.50359307),,,,,,MUNICIPAL,No,No,2,2028
da_aparcamientosMovilidadReducida.fid--175d4967_1a00d91a118_-6c74,66925,APARCAPMR_478,Puerta del Instituto Victoria Kent,"CAMINO DEL PATO, 8 ",POINT (370418.915152381 4061576.82439918),,,,,,MUNICIPAL,No,No,2,2028
da_aparcamientosMovilidadReducida.fid--175d4967_1a00d91a118_-6c73,66165,APARCAPMR_1179,Esq. C/Boccacio,"CALLE ESCRITORA ANA MARÍA MATUTE, 5 ",POINT (367767.999573217 4066778.9999815),,,,,,MUNICIPAL,No,No,1,2028
da_aparcamientosMovilidadReducida.fid--175d4967_1a00d91a118_-6c72,66420,APARCAPMR_1044,Esq. con Cl. Bolina,"CALLE RETAMA, 7 ",POINT (366794.996096824 4067504.25607418),,,,,,MUNICIPAL,No,No,2,2028
da_aparcamientosMovilidadReducida.fid--175d4967_1a00d91a118_-6c71,66567,APARCAPMR_712,Esquina con Cl. Oro,"CALLE ORO, 2 ",POINT (367381.886226664 4067047.3886438),,,,,,MUNICIPAL,No,No,1,2028
da_aparcamientosMovilidadReducida.fid--175d4967_1a00d91a118_-6c70,66856,APARCAPMR_951,Esquina calle Nestor Almendros,"CALLE JUANA CASTRO, 4 ",POINT (368831.612657066 4065411.7020056),,,,,,MUNICIPAL,No,No,1,2028
da_aparcamientosMovilidadReducida.fid--175d4967_1a00d91a118_-6c6f,66932,APARCAPMR_081,Esquina con c/ Boccacio,"AVENIDA DE ANDERSEN, 3 ",POINT (367713.340821175 4066806.54210804),,,,,,MUNICIPAL,No,No,2,2028
da_aparcamientosMovilidadReducida.fid--175d4967_1a00d91a118_-6c6e,66784,APARCAPMR_156,A la altura del nº 5,"CALLE ESQUILO, 19 ",POINT (367697.202032662 4065211.49153114),,,,,,MUNICIPAL,No,No,3,2028
da_aparcamientosMovilidadReducida.fid--175d4967_1a00d91a118_-6c6d,66455,APARCAPMR_1274,esquina con Avda. Manuel Rodríguez,"CALLE ABETOS, 2 ",POINT (367942.999858181 4066430.00017631),,,,,,MUNICIPAL,No,No,1,2028
da_aparcamientosMovilidadReducida.fid--175d4967_1a00d91a118_-6c6c,80622,APARCAPMR_1450," C/ Esquilo, Nº 21","CALLE ESQUILO, 21 ",POINT (367718.804442462 4065229.50170465),,,,,,MUNICIPAL,No,No,1,2028
da_aparcamientosMovilidadReducida.fid--175d4967_1a00d91a118_-6c6b,66814,APARCAPMR_897,C/ Forja con Avda. Manuel Rodríguez,"CALLE FORJA, 1 ",POINT (367890.314987949 4066424.09831251),,,,,,MUNICIPAL,No,No,1,2028
da_aparcamientosMovilidadReducida.fid--175d4967_1a00d91a118_-6c6a,67259,APARCAPMR_241,Esquina con c/ Luis Armiñán Pérez,"CAMINO DEL PATO, 40 ",POINT (370220.227092284 4061221.95816703),,,,,,MUNICIPAL,No,No,1,2028
da_aparcamientosMovilidadReducida.fid--175d4967_1a00d91a118_-6c69,66184,APARCAPMR_722,Frente al nº 2,"CALLE GUADALHORCE, 2 ",POINT (369088.659121464 4059161.60177795),,,,,,MUNICIPAL,No,No,2,2028
da_aparcamientosMovilidadReducida.fid--175d4967_1a00d91a118_-6c68,67135,APARCAPMR_146,A la altura del nº 3,"AVENIDA DE JOSÉ ORTEGA Y GASSET, 6 ",POINT (371207.085856684 4063907.270943),,,,,,MUNICIPAL,No,No,1,2028
da_aparcamientosMovilidadReducida.fid--175d4967_1a00d91a118_-6c67,67220,APARCAPMR_22,Esquina con Alameda de Colón,"ALAMEDA DE COLÓN, 19 ",POINT (372810.332321744 4064083.46904849),,,,,,MUNICIPAL,No,No,2,2028
da_aparcamientosMovilidadReducida.fid--175d4967_1a00d91a118_-6c66,66501,APARCAPMR_250,Esquina con c/ Campitos,"CALLE CALERITO, 3 ",POINT (369822.150752088 4062338.21073356),,,,,,MUNICIPAL,No,No,2,2028
da_aparcamientosMovilidadReducida.fid--175d4967_1a00d91a118_-6c65,66792,APARCAPMR_423,Esquina con c/ Jerusalén,"CALLE CALERITO, 13 ",POINT (369779.691772415 4062410.62622832),,,,,,MUNICIPAL,No,No,1,2028
da_aparcamientosMovilidadReducida.fid--175d4967_1a00d91a118_-6c64,77269,APARCAPMR_1317,C/ Manuel Curros Enríquez esquina con C/ Guadalhorce,"CALLE MANUEL CURROS ENRÍQUEZ, 1 ",POINT (369822.370188741 4058787.16204649),,,,,,MUNICIPAL,No,No,1,2028
da_aparcamientosMovilidadReducida.fid--175d4967_1a00d91a118_-6c63,66203,APARCAPMR_1192,,"CALLE DANIEL BLANXART, 21 ",POINT (367187.000325014 4063496.99970064),,,,,,MUNICIPAL,No,No,1,2028
da_aparcamientosMovilidadReducida.fid--175d4967_1a00d91a118_-6c62,66575,APARCAPMR_1290,,"CALLE DANIEL BLANXART, 4 ",POINT (366997.99987581 4063523.00072745),,,,,,MUNICIPAL,No,No,1,2028
da_aparcamientosMovilidadReducida.fid--175d4967_1a00d91a118_-6c61,67116,APARCAPMR_049,Esquina con Cl. José María Copello,"CALLE JOSÉ MARÍA COOPELLO, 30 ",POINT (371491.563448423 4065341.93943408),,,,,,MUNICIPAL,No,No,2,2028
da_aparcamientosMovilidadReducida.fid--175d4967_1a00d91a118_-6c60,66623,APARCAPMR_644,A la altura del nº 30,"CALLE CAMPANILLAS, 25 ",POINT (369522.70770867 4059065.95035966),,,,,,MUNICIPAL,No,No,1,2028
da_aparcamientosMovilidadReducida.fid--175d4967_1a00d91a118_-6c5f,66557,APARCAPMR_685,Esquina con c/ Andromeda,"AVENIDA DE PLUTARCO, 69 ",POINT (368132.99973748 4064978.00020547),,,,,,MUNICIPAL,No,No,1,2028
da_aparcamientosMovilidadReducida.fid--175d4967_1a00d91a118_-6c5e,66326,APARCAPMR_857,,"CALLE HÉROE DE SOSTOA, 95 ",POINT (371459.477055244 4063107.49926484),,,,,,MUNICIPAL,No,No,1,2028
da_aparcamientosMovilidadReducida.fid--175d4967_1a00d91a118_-6c5d,76803,APARCAPMR_1025,,"CALLE DE QUASIMODO, 23 ",POINT (369132.907753909 4063850.70553541),,,,,,MUNICIPAL,No,No,3,2028
da_aparcamientosMovilidadReducida.fid--175d4967_1a00d91a118_-6c5c,66583,APARCAPMR_1090,Esq. con Av. María Zambrano,"CALLE DE QUASIMODO, 7 ",POINT (369122.005685298 4063513.42557626),,,,,,MUNICIPAL,No,No,2,2028
da_aparcamientosMovilidadReducida.fid--175d4967_1a00d91a118_-6c5b,66660,APARCAPMR_658,Esquina con Cl. Carril del Capitán,"CARRIL DEL CAPITÁN, 3 ",POINT (369454.757393337 4065403.19558495),,,,,,MUNICIPAL,No,No,1,2028
da_aparcamientosMovilidadReducida.fid--175d4967_1a00d91a118_-6c5a,66966,APARCAPMR_378,A la altura de c/ San Martín,"CALLE NÚÑEZ VELA, 29 ",POINT (370568.071396796 4065487.72156788),,,,,,MUNICIPAL,No,No,4,2028
da_aparcamientosMovilidadReducida.fid--175d4967_1a00d91a118_-6c59,66785,APARCAPMR_283,Esquina con c/ Juan de Rihuerga,"CALLE TAMAYO Y BAUS, 14 ",POINT (369029.011716935 4065512.70351355),,,,,,MUNICIPAL,No,No,1,2028
da_aparcamientosMovilidadReducida.fid--175d4967_1a00d91a118_-6c58,66945,APARCAPMR_182,A la altura del nº 4,"PLAZA JOSÉ BERGAMÍN, 4 ",POINT (370064.782135907 4064680.12894589),,,,,,MUNICIPAL,No,No,1,2028
da_aparcamientosMovilidadReducida.fid--175d4967_1a00d91a118_-6c57,66687,APARCAPMR_552,,"CALLE CORREGIDOR FRANCISCO DE MOLINA, 18 ",POINT (370320.642136837 4064002.2966216),,,,,,MUNICIPAL,No,No,2,2028
da_aparcamientosMovilidadReducida.fid--175d4967_1a00d91a118_-6c56,66416,APARCAPMR_1100,Esq. con Cl. Alejandro Dumas,"AVENIDA DE ISAAC PERAL, 27 ",POINT (369791.430841275 4061942.8448985),,,,,,MUNICIPAL,No,No,1,2028
da_aparcamientosMovilidadReducida.fid--175d4967_1a00d91a118_-6c55,66951,APARCAPMR_359,Esquina con c/ Torres Quevedo,"AVENIDA DE ISAAC PERAL, 14 ",POINT (369942.042263491 4062161.59344123),,,,,,MUNICIPAL,No,No,1,2028
