FID,ID,NOMBRE,DESCRIPCION,DIRECCION,SDOGEOMETRIA,URL,EMAIL,CONTACTO,HORARIOS,PRECIOS,TITULARIDAD,TARJETAJOVEN,ACCESOPMR,NROPLAZAS,TOTALPLAZAS
da_aparcamientosBici.fid--175d4967_1a00d9bb795_feb,65894,APARCABICIS_136,,"CALLE TOMÁS ECHEVERRÍA, 6 ",POINT (371852.999860123 4062970.99980584),,,,,,MUNICIPAL,No,No,8,2084
da_aparcamientosBici.fid--175d4967_1a00d9bb795_fec,66012,APARCABICIS_168,Frente a los jardines,"CALLE DE TESEO, 14 ",POINT (368036.935440061 4064916.59196675),,,,,,MUNICIPAL,No,No,14,2084
da_aparcamientosBici.fid--175d4967_1a00d9bb795_fed,65898,APARCABICIS_121,A la altura del Estadio de Atletismo.,"AVENIDA ALICIA DE LARROCHA, 2 ",POINT (369728.558214531 4060646.63827353),,,,,,MUNICIPAL,No,No,8,2084
da_aparcamientosBici.fid--175d4967_1a00d9bb795_fee,66087,APARCABICIS_297,Esq. Cl Maestro Pablo Luna,"CALLE SONDALEZAS, 20 ",POINT (371180.72733463 4065399.08435096),,,,,,MUNICIPAL,No,No,10,2084
da_aparcamientosBici.fid--175d4967_1a00d9bb795_fef,66060,APARCABICIS_266,A la altura del número 14,"CALLE PAQUIRO, 1 ",POINT (369163.768745178 4062545.51328374),,,,,,MUNICIPAL,No,No,8,2084
da_aparcamientosBici.fid--175d4967_1a00d9bb795_ff0,65880,APARCABICIS_332,,"ALAMEDA PRINCIPAL, 2 ",POINT (373045.99999922 4064538.00026069),,,,,,MUNICIPAL,No,No,5,2084
da_aparcamientosBici.fid--175d4967_1a00d9bb795_ff1,65879,APARCABICIS_331,,"ALAMEDA PRINCIPAL, 2 ",POINT (373050.999861923 4064538.00042411),,,,,,MUNICIPAL,No,No,5,2084
da_aparcamientosBici.fid--175d4967_1a00d9bb795_ff2,66042,APARCABICIS_241,Esquina con c/ Prosper Mérimée.,"CALLE DE SAINT-EXUPÉRY, 22 ",POINT (369857.149309696 4064478.36568289),,,,,,MUNICIPAL,No,No,12,2084
da_aparcamientosBici.fid--175d4967_1a00d9bb795_ff3,79687,APARCABICIS_891,frente a la Comisaria Provincial de Málaga,"PLAZA DE MANUEL AZAÑA, 3 ",POINT (370656.981270113 4064181.30392896),,,,,,MUNICIPAL,No,No,10,2084
da_aparcamientosBici.fid--175d4967_1a00d9bb795_ff4,80754,APARCABICIS_893,,"PLAZA DE MANUEL AZAÑA, 3 ",POINT (370597.175540844 4064193.25312335),,,,,,MUNICIPAL,No,No,10,2084
da_aparcamientosBici.fid--175d4967_1a00d9bb795_ff5,65945,APARCABICIS_107,A la altura de la Comisaría de Policía,"PLAZA DE MANUEL AZAÑA, 3 ",POINT (370656.417788355 4064192.09975762),,,,,,MUNICIPAL,No,No,8,2084
da_aparcamientosBici.fid--175d4967_1a00d9bb795_ff6,78126,APARCABICIS_346,,"CALLE CARPIO, 52 ",POINT (371345.233929158 4062983.47450042),,,,,,MUNICIPAL,No,No,8,2084
da_aparcamientosBici.fid--175d4967_1a00d9bb795_ff7,66056,APARCABICIS_262,Esquina calle Doctor Jiménez Ruiz,"PASAJE SONDALEZAS, 12 ",POINT (371283.753069154 4065027.47090323),,,,,,MUNICIPAL,No,No,10,2084
da_aparcamientosBici.fid--175d4967_1a00d9bb795_ff8,66069,APARCABICIS_276,A la altura del número 3,"CALLE POETA MUÑOZ ROJAS, 3 ",POINT (371799.270616493 4063764.18546616),,,,,,MUNICIPAL,No,No,8,2084
da_aparcamientosBici.fid--175d4967_1a00d9bb795_ff9,66095,APARCABICIS_305,Esq. con Cl. Carrión,"PLAZUELA CRISTO DE LA CRUCIFIXIÓN, 1 ",POINT (373273.574977216 4065514.95993734),,,,,,MUNICIPAL,No,No,6,2084
da_aparcamientosBici.fid--175d4967_1a00d9bb795_ffa,74290,APARCABICIS_1876,,"CALLE CONCEJAL MUÑOZ CERVÁN, 3 ",POINT (371373.543880892 4062372.26765591),,,,,,MUNICIPAL,No,No,8,2084
da_aparcamientosBici.fid--175d4967_1a00d9bb795_ffb,66099,APARCABICIS_314,Esq. con Cl. Sondalezas,"PASAJE SONDALEZAS, 2 ",POINT (371341.345059693 4065031.81988239),,,,,,MUNICIPAL,No,No,10,2084
da_aparcamientosBici.fid--175d4967_1a00d9bb795_ffc,65881,APARCABICIS_333,,"ALAMEDA PRINCIPAL, 51 ",POINT (372738.999756586 4064407.99997217),,,,,,MUNICIPAL,No,No,5,2084
da_aparcamientosBici.fid--175d4967_1a00d9bb795_ffd,66048,APARCABICIS_255,A la altura del número 23,"CALLE ZARZAMORA, 22 ",POINT (366372.114635993 4067325.43118644),,,,,,MUNICIPAL,No,No,6,2084
da_aparcamientosBici.fid--175d4967_1a00d9bb795_ffe,78859,APARCABICIS_349,"C/ MAESTRANZA ,9","CALLE MAESTRANZA, 9 ",POINT (374041.312370075 4064726.55835899),,,,,,MUNICIPAL,No,No,10,2084
da_aparcamientosBici.fid--175d4967_1a00d9bb795_fff,66071,APARCABICIS_287,A la altura del número 1,"CALLE VÍCTOR HUGO, 10 ",POINT (367730.763755321 4066745.14663801),,,,,,MUNICIPAL,No,No,6,2084
da_aparcamientosBici.fid--175d4967_1a00d9bb795_1000,65992,APARCABICIS_230,Esquina c/ Rosario.,"CALLE CRUZ DEL MOLINILLO, 15 ",POINT (372891.675620748 4065511.41645957),,,,,,MUNICIPAL,No,No,8,2084
da_aparcamientosBici.fid--175d4967_1a00d9bb795_1001,66116,APARCABICIS_317,Junto a instalaciones deportivas,"CALLE DECANO EDUARDO PALANCA, 6 ",POINT (364791.475461109 4059209.31109273),,,,,,MUNICIPAL,No,No,8,2084
da_aparcamientosBici.fid--175d4967_1a00d9bb795_1002,65955,APARCABICIS_133,Inacua.,"CALLE MARILYN MONROE, 8 ",POINT (369999.944903147 4060408.65809225),,,,,,MUNICIPAL,No,No,12,2084
da_aparcamientosBici.fid--175d4967_1a00d9bb795_1003,66108,APARCABICIS_245,Junto a edificio de Consejería de Hacienda,"PLAZA DE SAN JUAN DE LA CRUZ, 4 ",POINT (371992.077144843 4064565.22457075),,,,,,MUNICIPAL,No,No,8,2084
da_aparcamientosBici.fid--175d4967_1a00d9bb795_1004,66057,APARCABICIS_254,Intersección Paseo de Reding,"PASEO DE REDING, 45 ",POINT (374229.238285891 4064836.08353052),,,,,,MUNICIPAL,No,No,8,2084
da_aparcamientosBici.fid--175d4967_1a00d9bb795_1005,65936,APARCABICIS_083,Junto a  Hospital Materno Infantil.,"AVENIDA DEL ARROYO DE LOS ÁNGELES, 58 ",POINT (371988.787061139 4065831.96849724),,,,,,MUNICIPAL,No,No,6,2084
da_aparcamientosBici.fid--175d4967_1a00d9bb795_1006,65925,APARCABICIS_043,A la altura de la Escuela de Español para extranjeros de la UMA.,"AVENIDA DE LA ESTACIÓN DE EL PALO, 4 ",POINT (378421.449440509 4064743.38398604),,,,,,MUNICIPAL,No,No,6,2084
da_aparcamientosBici.fid--175d4967_1a00d9bb795_1007,66058,APARCABICIS_265,A la altura de los números 43- 45,"CALLE ALMERÍA, 47 ",POINT (378893.712242401 4064738.82805014),,,,,,MUNICIPAL,No,No,8,2084
da_aparcamientosBici.fid--175d4967_1a00d9bb795_1008,65883,APARCABICIS_550,Av. Jorge Silvela frente C/ Fernando Loring,"AVENIDA DE JORGE SILVELA, 68 ",POINT (372799.000233479 4066443.00031035),,,,,,MUNICIPAL,No,No,3,2084
da_aparcamientosBici.fid--175d4967_1a00d9bb795_1009,66109,APARCABICIS_127,Junto a oficinas municipales,"CALLE CONCEJAL MUÑOZ CERVÁN, 4 ",POINT (371447.036986415 4062332.50017866),,,,,,MUNICIPAL,No,No,32,2084
da_aparcamientosBici.fid--175d4967_1a00d9bb795_100a,65961,APARCABICIS_146,Frente a c/ Josefa Morales,"CAMINO HUERTECILLA, 39 ",POINT (365356.626571676 4059690.72441308),,,,,,MUNICIPAL,No,No,12,2084
da_aparcamientosBici.fid--175d4967_1a00d9bb795_100b,78127,APARCABICIS_347,Esq. Mahler,"BULEVAR ADOLFO SUÁREZ, 93 ",POINT (370058.55635279 4062768.52129522),,,,,,MUNICIPAL,No,No,8,2084
da_aparcamientosBici.fid--175d4967_1a00d9bb795_100c,66091,APARCABICIS_300,A la altura del CP Cupiana,"CALLE PORTALES DE LA VICTORIA, 22 ",POINT (362028.560061521 4063415.20780938),,,,,,MUNICIPAL,No,No,6,2084
da_aparcamientosBici.fid--175d4967_1a00d9bb795_100d,65964,APARCABICIS_157,Esquina con Av. Editor Ángel Caffarena,"CALLE ROSA GARCÍA ASCOT, 28 ",POINT (368327.989175367 4065575.04733768),,,,,,MUNICIPAL,No,No,16,2084
da_aparcamientosBici.fid--175d4967_1a00d9bb795_100e,65886,APARCABICIS_337,,"AVENIDA IMPERIO ARGENTINA, 21 ",POINT (370200.99979751 4060589.00064627),,,,,,MUNICIPAL,No,No,5,2084
da_aparcamientosBici.fid--175d4967_1a00d9bb795_100f,66086,APARCABICIS_296,Esq. Cl. Poeta Concha Mendez,"CALLE SAN CAYETANO, 6 ",POINT (373616.160107373 4065463.2872891),,,,,,MUNICIPAL,No,No,12,2084
da_aparcamientosBici.fid--175d4967_1a00d9bb795_1010,66110,APARCABICIS_246,Esq. con Paseo Antonio Machado,"PASEO DE ANTONIO MACHADO, 56 ",POINT (372002.044126188 4062967.65715832),,,,,,MUNICIPAL,No,No,8,2084
