"Codigo de via";"Clase de la via";"Particula de la via";"Nombre de la via";"Tipo de tramo ";"Nombre de la aproximacion";"Numero inicial del tramo";"Calificador del numero inicial del tramo";"Numero final del tramo";"Calificador del numero final del tramo";"Zona S E R  del tramo"
"00000831";"AVENIDA                 ";"DEL   ";"PLANETARIO                                      ";"impar";"NUM";"000001";"  ";"000999";"  ";"000024"
"00000831";"AVENIDA                 ";"DEL   ";"PLANETARIO                                      ";"par  ";"NUM";"000002";"  ";"000012";"  ";"000025"
"00000831";"AVENIDA                 ";"DEL   ";"PLANETARIO                                      ";"par  ";"NUM";"000014";"  ";"000998";"  ";"000024"
"00000832";"CALLE                   ";"DE    ";"MIGUEL DE UNAMUNO                               ";"impar";"NUM";"000001";"  ";"000013";" Z";"000151"
"00000832";"CALLE                   ";"DE    ";"MIGUEL DE UNAMUNO                               ";"par  ";"NUM";"000002";"  ";"000020";"  ";"000151"
"00000841";"TRAVESIA                ";"DE    ";"MARIA ZAMBRANO                                  ";"impar";"NUM";"000001";"  ";"000005";"  ";"000155"
"00000841";"TRAVESIA                ";"DE    ";"MARIA ZAMBRANO                                  ";"par  ";"NUM";"000002";"  ";"000006";"  ";"000155"
"00000862";"TRAVESIA                ";"DE    ";"SANTA MARIA MAGDALENA                           ";"impar";"NUM";"000001";"  ";"000999";"  ";"000055"
"00000862";"TRAVESIA                ";"DE    ";"SANTA MARIA MAGDALENA                           ";"par  ";"NUM";"000002";"  ";"000998";"  ";"000055"
"00000863";"PLAZA                   ";"DEL   ";"DESCUBRIDOR DIEGO DE ORDAS                      ";"impar";"NUM";"000001";"  ";"000999";"  ";"000075"
"00000863";"PLAZA                   ";"DEL   ";"DESCUBRIDOR DIEGO DE ORDAS                      ";"par  ";"NUM";"000002";"  ";"000998";"  ";"000075"
"00000868";"CALLE                   ";"DEL   ";"PUERTO DE MIRAVETE                              ";"impar";"NUM";"000001";"  ";"000999";"  ";"000024"
"00000868";"CALLE                   ";"DEL   ";"PUERTO DE MIRAVETE                              ";"par  ";"NUM";"000002";"  ";"000998";"  ";"000024"
"00000869";"CALLE                   ";"DEL   ";"PUERTO DE LA CRUZ VERDE                         ";"impar";"NUM";"000001";"  ";"000999";"  ";"000024"
"00000869";"CALLE                   ";"DEL   ";"PUERTO DE LA CRUZ VERDE                         ";"par  ";"NUM";"000002";"  ";"000998";"  ";"000024"
"00000870";"CALLE                   ";"DEL   ";"TEJO                                            ";"impar";"NUM";"000001";"  ";"000999";"  ";"000027"
