"name";"address";"category";lon;lat;"status";temperature;rotationbegin;rotationend;rotationduration;"signal_status";datenosignal
"PS_VR-PMR_2LCFelipeGorritiN19";"2L C. Felipe Gorriti Nº 19";"forDisabled";-1.634426;42.812909;"occupied";26;2026-08-17 20:15:15.55;;;"on";
"PS_VR-PMR_2LCFelipeGorritiN19";"2L C. Felipe Gorriti Nº 19";"forDisabled";-1.634379;42.812939;"free";26;2026-08-17 15:15:01.435;2026-08-17 20:04:41.286;17379.851;"on";
"PS_VR-PMR_1LCTafallaN3";"1L C. Tafalla Nº 3";"forDisabled";-1.635402;42.813305;"occupied";26;2026-08-17 19:50:22.249;;;"on";
"PS_VR-PMR_1LCTafallaN7";"1L C. Tafalla Nº 7";"forDisabled";-1.636305;42.812761;"occupied";23;2026-08-16 09:26:47.249;;;"on";2026-01-27 20:13:21.448
"PS_VR-PMR_1BCOliteN30";"1B C. Olite Nº 30";"forDisabled";-1.635418;42.812166;"free";22;2026-08-18 05:16:09.752;;;"on";
"PS_VR-PMR_1LCFelipeGorritiN27";"1L C. Felipe Gorriti Nº 27";"forDisabled";-1.635702;42.812139;"occupied";23;2026-07-22 09:42:22.986;;;"on";2026-01-27 20:13:21.448
"PS_VR-PMR_1LCFelipeGorritiN31";"1L C. Felipe Gorriti Nº 31";"forDisabled";-1.636122;42.811885;"occupied";23;2026-08-17 18:36:46.785;2026-08-17 21:48:06.817;11480.032;"on";
"PS_VR-PMR_2LCSanFermínfrenteN29";"2L C. San Fermín frente Nº 29";"forDisabled";-1.637416;42.8132;"occupied";6;2025-12-04 12:26:37.814;;;"commsfail";2026-01-03 21:18:36.123
"PS_VR-PMR_2LCSanFermínfrenteN29";"2L C. San Fermín frente Nº 29";"forDisabled";-1.637367;42.81323;"occupied";25;2026-08-17 05:58:09.797;;;"on";
"PS_VR-PMR_1LCFelipeGorritiN35";"1L C. Felipe Gorriti Nº 35";"forDisabled";-1.636777;42.811492;"occupied";27;2026-08-18 00:35:41.055;;;"on";2026-04-23 00:30:38.636
"PS_VR-PMR_1LCCastillodeMayaN36";"1L C. Castillo de Maya Nº 36";"forDisabled";-1.63594;42.811063;"free";40;2026-08-17 14:49:38.207;2026-08-18 02:49:18.242;43180.035;"on";2026-07-09 13:40:57.362
"PS_VR-PMR_7BPzaLibertadN1(Soloes1plaza)";"7B Pza. Libertad Nº 1 (Solo es 1plaza)";"forDisabled";-1.635599;42.810252;"occupied";25;2026-08-18 05:37:04.194;;;"on";
"PS_VR-PMR_1BCOlitefrenteN31(FrentealN29)";"1B C. Olite frente Nº 31 (Frente al Nº 29)";"forDisabled";-1.634441;42.811302;"free";47;2026-08-17 21:12:13.307;2026-08-17 21:14:00.76;107.453;"on";
"PS_VR-PMR_1BCOlitefrenteN31";"1B C. Olite frente Nº 31";"forDisabled";-1.634292;42.81117;"occupied";40;2026-08-18 00:47:48.765;;;"on";
"PS_VR-PMR_1BCOlitefrenteN34";"1B C. Olite frente Nº 34";"forDisabled";-1.634058;42.810956;"occupied";26;2026-08-18 00:11:12.787;;;"on";
"PS_VR-PMR_2BCOliteN42";"2B C. Olite Nº 42";"forDisabled";-1.633547;42.810494;"occupied";23;2026-08-17 20:00:10.054;;;"on";2026-01-27 18:13:21.335
"PS_VR-PMR_2BCOliteN42";"2B C. Olite Nº 42";"forDisabled";-1.633519;42.810465;"occupied";23;2026-08-17 19:45:52.206;;;"on";
"PS_VR-PMR_1BCOliteN46";"1B C. Olite Nº 46";"forDisabled";-1.633092;42.810083;"occupied";51;2026-08-18 05:40:37.012;;;"on";
"PS_VR-PMR_3LCAoizN10-12{Solo2plazas}";"3L C. Aoiz Nº 10-12 {Solo 2 plazas}";"forDisabled";-1.633626;42.809918;"occupied";31;2026-08-18 00:21:14.191;;;"on";
"PS_VR-PMR_1LCYanguasyMiranda27";"1L C. Yanguas y Miranda 27";"forDisabled";-1.6447;42.811282;"occupied";0;2026-07-06 08:47:06.671;;;"commsfail";2026-08-05 11:40:59.425
"PS_VR-PMR_2LCTudelaN2";"2L C. Tudela Nº 2";"forDisabled";-1.644141;42.812529;"occupied";26;2026-08-17 22:05:34.911;;;"on";
"PS_VR-PMR_2LCTudelaN2";"2L C. Tudela Nº 2";"forDisabled";-1.644115;42.812469;"occupied";28;2026-08-18 05:50:16.514;;;"on";2026-06-11 16:30:50.326
"PS_VR-PMR_2LCJuliánGayarre-AvZaragoza";"2L C. Julián Gayarre - Av. Zaragoza";"forDisabled";-1.643786;42.808413;"occupied";34;2026-06-11 10:08:20.982;;;"commsfail";2026-07-17 09:40:58.181
"PS_VR-PMR_2LCJuliánGayarre-AvZaragoza";"2L C. Julián Gayarre - Av. Zaragoza";"forDisabled";-1.64372;42.808377;"free";49;2026-06-12 12:29:47.868;;;"commsfail";2026-07-16 23:40:58.235
"PS_VR-PMR_1LCFcoBergamínN32";"1L C. Fco. Bergamín Nº 32";"forDisabled";-1.636457;42.808107;"occupied";42;2026-08-17 22:42:19.276;;;"on";
"PS_VR-PMR_3LCGonzalezTablasN7";"3L C. Gonzalez Tablas Nº 7";"forDisabled";-1.638317;42.808864;"occupied";20;2026-08-18 05:35:04.091;2026-08-18 05:35:17.098;13.007;"on";2026-08-11 23:40:59.949
"PS_VR-PMR_3LCGonzalezTablasN7";"3L C. Gonzalez Tablas Nº 7";"forDisabled";-1.638229;42.808867;"occupied";27;2026-08-18 05:39:13.519;;;"on";2026-08-08 03:40:59.751
"PS_VR-PMR_1LCSangüesaN34|{AntiguaCGonzálezTablas}";"1L C. Sangüesa Nº 34 | { Antigua C. González Tablas }";"forDisabled";-1.638167;42.808868;"occupied";34;2026-08-18 06:49:41.729;;;"on";2026-08-08 01:40:59.722
"PS_VR-PMR_1BAvGaliciaN9";"1B Av. Galicia Nº 9";"forDisabled";-1.638913;42.809621;"free";33;2026-08-17 18:57:24.185;2026-08-18 06:56:30.409;43146.224;"on";
"PS_VR-PMR_1LAvGaliciaN4";"1L Av. Galicia Nº4";"forDisabled";-1.641263;42.809459;"free";19;2026-08-18 06:31:31.11;;;"on";2026-01-27 18:13:21.336
"PS_VR-PMR_1BAvGaliciaN1";"1B Av. Galicia Nº1";"forDisabled";-1.642316;42.80962;"free";26;2026-08-17 17:36:33.847;2026-08-17 19:48:10.494;7896.647;"on";2026-07-07 07:40:57.152
"PS_VR-PMR_1LCTafallafrenteN30";"1L C. Tafalla frente Nº 30";"forDisabled";-1.6404;42.810292;"free";26;2026-08-17 09:57:13.028;2026-08-17 21:56:43.553;43170.525;"on";
"PS_VR-PMR_1BCSanFermínN65";"1B C. San Fermín Nº 65";"forDisabled";-1.642357;42.810134;"free";23;2026-08-11 22:35:28.732;2026-08-12 22:35:19.56;86390.828;"on";2026-01-27 22:13:21.449
"PS_VR-PMR_2LCPadreCalatayudN2";"2L C. Padre Calatayud Nº 2";"forDisabled";-1.642977;42.811664;"occupied";24;2026-08-17 11:02:22.684;;;"on";2026-08-11 09:40:59.958
"PS_VR-PMR_2LCPadreCalatayudN2";"2L C. Padre Calatayud Nº 2";"forDisabled";-1.642937;42.811631;"occupied";23;2026-08-17 15:33:21.069;;;"on";2026-08-05 05:40:59.404
"PS_VR-PMR_1LCSangüesaN16";"1L C. Sangüesa Nº 16";"forDisabled";-1.64111;42.811132;"occupied";25;2026-08-17 17:37:01.45;;;"on";
"PS_VR-PMR_1LCTafallaN29";"1L C. Tafalla Nº 29";"forDisabled";-1.639603;42.810775;"free";23;2026-08-17 16:15:58.087;2026-08-17 16:16:13.861;15.774;"on";2026-07-15 05:40:57.89
"PS_VR-PMR_1LCFcoBergamínN4";"1L C. Fco. Bergamín Nº4";"forDisabled";-1.641382;42.812589;"occupied";25;2026-08-18 05:37:20.2;;;"on";
"PS_VR-PMR_1BCFcoBergamínN7";"1B C. Fco. Bergamín Nº 7";"forDisabled";-1.641338;42.812654;"free";28;2026-08-18 06:32:25.816;;;"on";
"PS_VR-PMR_1BCFcoBergamín,27";"1B C. Fco. Bergamín, 27";"forDisabled";-1.639575;42.811073;"occupied";26;2026-08-17 21:36:44.751;;;"on";2026-01-27 12:48:59.876
"PS_VR-PMR_1LCFcoBergamínN39";"1L C. Fco. Bergamín Nº 39";"forDisabled";-1.638004;42.809664;"occupied";25;2026-08-17 21:02:44.251;;;"on";2026-01-27 12:48:59.876
"PS_VR-PMR_1LCSanFermínN18";"1L C. San Fermín Nº 18";"forDisabled";-1.63987;42.811733;"occupied";23;2026-08-18 00:31:06.643;;;"on";
"PS_VR-PMR_1LCPaulinoCaballeroN24{Plazadebatería}";"1L C. Paulino Caballero Nº 24 {Plaza de batería}";"forDisabled";-1.638802;42.811484;"occupied";27;;;;"on";
"PS_VR-PMR_1LCTafallaN23";"1L C. Tafalla Nº 23";"forDisabled";-1.638791;42.811265;"free";24;2026-08-17 18:57:03.293;;;"on";2026-01-27 22:13:21.45
"PS_VR-PMR_1LCFelipeGorritiN30";"1L C. Felipe Gorriti Nº 30";"forDisabled";-1.637824;42.810933;"occupied";24;2026-08-11 22:17:47.792;;;"on";2026-07-15 21:40:57.967
"PS_VR-PMR_2BCCastillodeMayaN41";"2B C. Castillo de Maya Nº 41";"forDisabled";-1.63712;42.810259;"occupied";29;2026-08-18 01:18:41.46;;;"on";2026-07-13 23:40:57.792
"PS_VR-PMR_2BCCastillodeMayaN41";"2B C. Castillo de Maya Nº 41";"forDisabled";-1.637152;42.810239;"occupied";23;2026-08-18 06:55:29.059;;;"on";2026-08-14 23:41:00.415
"PS_VR-PMR_1BCPaulinoCaballeroN44";"1B C. Paulino Caballero Nº 44";"forDisabled";-1.636815;42.809702;"free";23;2026-08-17 20:46:13.197;;;"on";2026-07-21 15:40:58.404
"PS_VR-PMR_1LPzadelaLibertadN12";"1L Pza. de la Libertad Nº 12";"forDisabled";-1.635678;42.809038;"free";29;2026-08-17 19:47:08.357;;;"on";2026-01-27 12:48:59.876
