osm_id,tipo_dato,lat,lon,nombre,operador,horario,zona
node/8869484238,parking_entrance,36.5115251,-4.8994914,,,,
node/8869484239,parking_entrance,36.5113999,-4.8995072,,,,
node/8869506709,parking_entrance,43.4742762,-3.8211401,,,,
node/8869522345,parking_entrance,43.4740943,-3.8203969,,,,
node/8870603567,parking_entrance,43.3075817,-1.8791137,,,,
node/8872607699,parking_entrance,40.4705178,-3.4469427,,,,
node/8872624901,parking_entrance,43.5962328,1.3439914,,,,
node/8875014584,parking_entrance,40.4986761,-3.8750394,,,,
node/8875021563,parking_entrance,40.4969355,-3.8782619,,,,
node/8882865651,parking_entrance,43.4794119,-3.8048099,,,,
node/8883507186,parking_entrance,37.7695965,-3.7898099,,,,
node/8883746600,parking_entrance,41.3446095,2.0461997,,,,
node/8883909071,parking_entrance,40.3482126,-3.8065353,,,,
node/8887203412,parking_entrance,43.3081646,-1.8827947,,,,
node/8887233452,parking_entrance,43.3087555,-1.8831032,,,,
node/8887235599,parking_entrance,43.3088223,-1.8825919,,,,
node/8887891479,parking_entrance,36.3648182,-5.2292253,,,,
node/8888078874,parking_entrance,36.3670411,-5.2270045,,,,
node/8888116902,parking_entrance,28.1453279,-15.6422321,,,,
node/8888116906,parking_entrance,28.1457464,-15.6433075,,,,
node/8888129202,parking_entrance,43.5985691,1.3515782,,,,
node/8888369280,parking_entrance,43.605981,2.242529,,,,
node/8888406327,parking_entrance,38.9633196,-0.1796471,,,,
node/8892972470,parking_entrance,43.3063498,-0.3552463,,,,
node/8893267181,parking_entrance,43.313998,-1.9830523,,,,
node/8893380383,parking_entrance,43.5718174,4.1043567,,,,
node/8895292447,parking_entrance,40.4878244,-3.6078497,,,,
node/8895292456,parking_entrance,40.4886634,-3.6077628,,,,
node/8895537412,parking_entrance,43.6013465,1.3263923,,,,
node/8897408672,parking_entrance,43.6150094,1.3063548,,,,
node/8897410020,parking_entrance,43.6139314,1.3061594,,,,
node/8897410035,parking_entrance,43.615299,1.3055591,,,,
node/8899003830,parking_entrance,40.46369,-3.4349126,,,,
node/8899456949,parking_entrance,41.3928064,2.1408688,Plaça Wagner,,,
node/8900171532,parking_entrance,42.5227758,0.8339945,,,,
node/8900171533,parking_entrance,42.522648,0.8339192,,,,
node/8903479768,parking_entrance,43.5985859,1.345506,,,,
node/8903479769,parking_entrance,43.5986852,1.3449396,,,,
node/8903479770,parking_entrance,43.5983207,1.3449468,,,,
node/8903479771,parking_entrance,43.598143,1.3454792,,,,
node/8903612511,parking_entrance,37.8970817,-4.7534627,,,,
node/8904591075,parking_entrance,37.8891986,-4.798337,,,,
node/8904591077,parking_entrance,37.8890324,-4.7989005,,,,
node/8904936641,parking_entrance,43.4820357,-1.5069357,,,,
node/8907231093,parking_entrance,37.4104559,-5.9766604,,,,
node/8911291848,parking_entrance,40.4576466,-3.6854212,,,,
node/8912238729,parking_entrance,39.4683328,-0.3806436,,,,
node/8912238734,parking_entrance,39.4682367,-0.379387,,,,
node/8913402915,parking_entrance,41.3881825,2.1992149,,,,
node/8913404385,parking_entrance,39.4562642,-0.372197,,,,
node/8913404386,parking_entrance,39.4560567,-0.3722709,,,,
node/8913451444,parking_entrance,41.4062818,2.195385,,,,
node/8913620688,parking_entrance,40.4481239,-3.6248501,,,,
node/8913823434,parking_entrance,27.9088804,-15.401819,,,,
node/8913823438,parking_entrance,27.9082968,-15.4017271,,,,
node/8915960451,parking_entrance,27.7453756,-15.610673,,,,
node/8918834072,parking_entrance,40.4123479,-3.7211313,,,,
node/8920489307,parking_entrance,41.4046209,2.2116246,,,,
node/8921571223,parking_entrance,41.394542,2.1526048,,,,
node/8922795216,parking_entrance,43.5975952,1.3496386,,,,
node/8923092665,parking_entrance,42.3381391,-3.6379233,,,,
node/8926043574,parking_entrance,41.1230079,1.2129919,,,,
node/8926064218,parking_entrance,41.4123298,2.2187671,,,,
node/8927068584,parking_entrance,41.1156451,1.2162807,,,,
node/8928412745,parking_entrance,41.5381894,2.2162987,Pla de les Pruneres,,,
