Direccion;Latitud;Longitud;Coordenadas
Calle de la Felicidad, 4;40.3105539243281;-3.44485418072279;40.3105539243281, -3.44485418072279
Calle de la Felicidad, 2;40.3106986492459;-3.44485513032059;40.3106986492459, -3.44485513032059
Calle  Gomera, 12;40.3114668279544;-3.47732758052385;40.3114668279544, -3.47732758052385
Calle de San José, 28;40.2997335235339;-3.44171560947024;40.2997335235339, -3.44171560947024
Calle  Isaac Peral, 28;40.2953343200117;-3.43723243604148;40.2953343200117, -3.43723243604148
Ronda de los Almendros, 21;40.2991224081433;-3.4364894252736;40.2991224081433, -3.4364894252736
Avda del Ejército, 13;40.3016378614329;-3.44561615176995;40.3016378614329, -3.44561615176995
Calle  Mar Cantábrico, 13;40.2933002887927;-3.43025586915316;40.2933002887927, -3.43025586915316
Calle  San Roque, 7;40.2988459108442;-3.43433905763596;40.2988459108442, -3.43433905763596
Avda del Mediterráneo, 5;40.2969058747642;-3.43130092537385;40.2969058747642, -3.43130092537385
Calle  Don Diego, 29;40.3021845313679;-3.43883915663092;40.3021845313679, -3.43883915663092
Ronda de Batres, 10;40.3026132036163;-3.43838823617983;40.3026132036163, -3.43838823617983
Calle  Virgen del Pilar, 6;40.3019753698493;-3.4447302215588;40.3019753698493, -3.4447302215588
Calle  Real, 110;40.2980963474422;-3.43025258770098;40.2980963474422, -3.43025258770098
Calle  Grupo Escolar, 24;40.3026072603562;-3.43648983719365;40.3026072603562, -3.43648983719365
Avda del Mediterráneo, 18;40.2958634799205;-3.43038984063294;40.2958634799205, -3.43038984063294
Calle  Ibiza, 1;40.314279807048;-3.4774156165207;40.314279807048, -3.4774156165207
Urb. Estrella de Oriente, 5;40.3157019290801;-3.47599679474972;40.3157019290801, -3.47599679474972
Avda de la Tolerancia, 27;40.3094579803669;-3.44417466900606;40.3094579803669, -3.44417466900606
Avda  República Argentina, 4;40.3096608141226;-3.45238055520554;40.3096608141226, -3.45238055520554
Avda de la Tolerancia, 25;40.3094587505024;-3.444496304748;40.3094587505024, -3.444496304748
Calle  Noisy Le Sec, 20;40.2966113779686;-3.44428202957311;40.2966113779686, -3.44428202957311
Calle  Peñón de Gibraltar, 39;40.3006236930364;-3.44033434869177;40.3006236930364, -3.44033434869177
Calle  Monte Caro, 2;40.3166145055554;-3.47798648574906;40.3166145055554, -3.47798648574906
Calle  Josefa Salvanés, La Blanca, 4;40.2913669979002;-3.44345430144025;40.2913669979002, -3.44345430144025
Calle Campoamor;40.3008132950774;-3.4340233985768;40.3008132950774, -3.4340233985768
Col de los Almendros, 10;40.2912097312159;-3.44292281933189;40.2912097312159, -3.44292281933189
Calle  Isaac Peral, 34;40.2949746324967;-3.43678814150622;40.2949746324967, -3.43678814150622
Calle  Dulcinea del Toboso, 5;40.3009594608144;-3.44559191895068;40.3009594608144, -3.44559191895068
Calle  Doctor Marañón, 8;40.3030540232672;-3.43794726945888;40.3030540232672, -3.43794726945888
Calle  Dulcinea del Toboso, 4;40.30119856934;-3.44653542833648;40.30119856934, -3.44653542833648
Calle de las Viñas, 4;40.3045091896198;-3.44379014677657;40.3045091896198, -3.44379014677657
