direccion,foto,longitud,latitud
"CTRA. CARAVACA,NÚMERO 21, RM-711","https://www.lorca.es/ficheros/File/parking-disabled/imagen-plazas/plaza1.jpg","-1.69986627651762","37.6857392136274"
"CTRA. CARAVACA, NÚMERO 42, RM-711 (UNA PLAZA DE RESERVA EN CADA BANDA DE LA CALLE)","https://www.lorca.es/ficheros/File/parking-disabled/imagen-plazas/plaza1.jpg","-1.6998555515767","37.6846269445058"
"CTRA. CARAVACA, 36, RM-711","https://www.lorca.es/ficheros/File/parking-disabled/imagen-plazas/plaza1.jpg","-1.69964100893797","37.683990141699"
"C/Álamo,proximidad al Excmo Ayuntamiento","https://www.lorca.es/ficheros/File/parking-disabled/imagen-plazas/Alamo (ayuntamiento)43 [600].JPG","-1.6995983752854","37.6763257898213"
"Ronda Sur, Centro Integral de Emergencias y Seguridad","https://www.lorca.es/ficheros/File/parking-disabled/imagen-plazas/plaza1.jpg","-1.69959032865836","37.6581716750269"
"CTRA. CARAVACA, NÚMERO 15, RM-711","https://www.lorca.es/ficheros/File/parking-disabled/imagen-plazas/plaza1.jpg","-1.69954963562885","37.6830816268976"
"C/Arquitecto Ortiz de la Jara n 1","https://www.lorca.es/ficheros/File/parking-disabled/imagen-plazas/plaza1.jpg","-1.69938920234267","37.6675415231299"
"Calle Ingeniero Juan Escofet, dos plazas","https://www.lorca.es/ficheros/File/parking-disabled/imagen-plazas/plaza1.jpg","-1.69937789352387","37.6848264749271"
"PERIODISTA ANGELA RUIZ, FRENTE A SOLAR APARCAMIENTO Y VÍA FÉRREA.","https://www.lorca.es/ficheros/File/parking-disabled/imagen-plazas/plaza1.jpg","-1.69925440031473","37.6666457769079"
"C/ Poeta Carlos Mellado altura Teatro Guerra","https://www.lorca.es/ficheros/File/parking-disabled/imagen-plazas/plaza1.jpg","-1.69849196406676","37.6728696208859"
"Cabezo Marines, altura del parque","https://www.lorca.es/ficheros/File/parking-disabled/imagen-plazas/plaza1.jpg","-1.69834712477996","37.6850371474743"
"Plaza Santiago (C/Don Juan II)","https://www.lorca.es/ficheros/File/parking-disabled/imagen-plazas/Plaza Santiago44 [600].JPG","-1.69832017675594","37.677067530155"
"Plaza Camacho","https://www.lorca.es/ficheros/File/parking-disabled/imagen-plazas/plaza1.jpg","-1.69821211288013","37.6823016149367"
"Plaza Camacho","https://www.lorca.es/ficheros/File/parking-disabled/imagen-plazas/plaza1.jpg","-1.69820071349181","37.6822883478514"
"CAMINO MARIN, FRENTE N  22","https://www.lorca.es/ficheros/File/parking-disabled/imagen-plazas/plaza1.jpg","-1.69818136625902","37.6649344729827"
"Alameda de Cervantes n 7, (dos plazas)","https://www.lorca.es/ficheros/File/parking-disabled/imagen-plazas/plaza1.jpg","-1.69815652241334","37.6702966231858"
"C/. CARLOS MARIA BARBERAN, FRENTE CENTRO DESARROLLO LOCAL","https://www.lorca.es/ficheros/File/parking-disabled/imagen-plazas/plaza1.jpg","-1.69806278175361","37.6684298359937"
"C/Actor Antonio Tudela con Plaza Artes Escénicas","https://www.lorca.es/ficheros/File/parking-disabled/imagen-plazas/ACtor Antonio Tudela30 [600].JPG","-1.69799990952015","37.6661377708481"
"C/. JOSE ESPINOSA POMARES, esquina Alameda Cervantes.","https://www.lorca.es/ficheros/File/parking-disabled/imagen-plazas/plaza1.jpg","-1.6978967878357","37.6698733096734"
"C/Lope Gisbert,frente a Palacio Guevara","https://www.lorca.es/ficheros/File/parking-disabled/imagen-plazas/Lopez Gisbert fente palacio Guevara42 [600].JPG","-1.69780263634993","37.6749580960247"
"Carril de Paco Reverte, 1","https://www.lorca.es/ficheros/File/parking-disabled/imagen-plazas/arcos de reverte (confirmar)50 [600].JPG","-1.6977046920133","37.6816256338511"
"C/. Carlos Maria  Barberan, junto n  9.","https://www.lorca.es/ficheros/File/parking-disabled/imagen-plazas/Alameda cervantes junto edificio puerta sol37 [600].JPG","-1.69754586011891","37.667564650464"
"C/Marsilla,frente  a Plaza Ibreño","https://www.lorca.es/ficheros/File/parking-disabled/imagen-plazas/plaza1.jpg","-1.69753326377167","37.6781289510478"
"C/Portijico, 31 con C/Mulero","https://www.lorca.es/ficheros/File/parking-disabled/imagen-plazas/portijico con mulero52 [600].JPG","-1.69739374049277","37.6837716251983"
"Alameda Cervantes,  frente al n  15.","https://www.lorca.es/ficheros/File/parking-disabled/imagen-plazas/plaza1.jpg","-1.69723721230321","37.6683241135003"
" Alameda Rafael Méndez, 2, altura bloque H de urbanización La Isla, (dos plazas, tiempo max 2 horas)","https://www.lorca.es/ficheros/File/parking-disabled/imagen-plazas/Alameda  Rafael Mendez edificio H41 [600].JPG","-1.69716943743435","37.669492722805"
"C/La Rambla, junto al Centro de Visitantes Lorca Taller del Tiempo","https://www.lorca.es/ficheros/File/parking-disabled/imagen-plazas/plaza1.jpg","-1.69715823563411","37.6796995390081"
"C/La Rambla, junto al Centro Visitantes Lorca Taller del Tiempo","https://www.lorca.es/ficheros/File/parking-disabled/imagen-plazas/plaza1.jpg","-1.69712806078269","37.6797414644525"
"Camino Marín con esquina Camino del Gato","https://www.lorca.es/ficheros/File/parking-disabled/imagen-plazas/camino marin squina camino del gato32 [600].JPG","-1.69703035214957","37.6641288557909"
"Avenida Juan Carlos I, 31(promiximidad con C/Emilio García Navarro-Centro cultural)","https://www.lorca.es/ficheros/File/parking-disabled/imagen-plazas/plaza1.jpg","-1.69701674910857","37.6735542863024"
"C/Santo Domingo,junto a Delegación de Hacienda","https://www.lorca.es/ficheros/File/parking-disabled/imagen-plazas/santo domingo HACIENDA46 [600].JPG","-1.69694701167418","37.6780134796629"
"Plaza Juan Moreno, callejón La Merced junto a sede de Urbanismo (Calle Puente Alberca, 9)","https://www.lorca.es/ficheros/File/parking-disabled/imagen-plazas/URBANISMO47 [600].JPG","-1.69687960555723","37.6792651838729"
"Plaza Juan Moreno, callejón La Merced junot a Sede de Urbanismo (Calle Puente Alberca, 9)","https://www.lorca.es/ficheros/File/parking-disabled/imagen-plazas/URBANISMO47 [600].JPG","-1.69684943070581","37.6792678373983"
