gis_x;gis_y;fecha_de_alta;fecha_de_baja;cod_distrito;distrito;cod_barrio;num_barrio;barrio;calle;numero_finca;matricula;longitud;latitud
439365.0089700510;4473646.0678076100;2014-05-27;1900-01-08;1;Centro;11;1;Palacio;SAN BUENAVENTURA, CALLE, DE;4;0301110051;-3.7146492270;40.4112265460
439473.0306642660;4473601.5760720700;2014-05-27;2020-06-29;1;Centro;11;1;Palacio;SAN FRANCISCO, CARRERA, DE;14;0301110054;-3.7133718740;40.4108329240
439599.9618760000;4473649.5503710000;2014-05-27;1900-01-08;1;Centro;11;1;Palacio;SAN FRANCISCO, CARRERA, DE;2;0301110050;-3.7118805800;40.4112747890
439500.6702090000;4473595.5087040000;2014-05-27;1900-01-08;1;Centro;11;1;Palacio;SAN ISIDRO LABRADOR, CALLE, DE;11;0301110055;-3.7130456320;40.4107807280
439703.7787670000;4473820.4406230000;2014-05-27;1900-01-08;1;Centro;11;1;Palacio;SAN PEDRO, COSTANILLA, DE;10;0301110034;-3.7106731860;40.4128216030
439659.9469865800;4473910.7372291000;2014-05-27;1900-01-08;1;Centro;11;1;Palacio;SEGOVIA, CALLE, DE;14;0301110037;-3.7111984160;40.4136322240
439415.3436490000;4473949.1348630000;2014-05-26;1900-01-08;1;Centro;11;1;Palacio;SEGOVIA, CALLE, DE;23;0301110027;-3.7140848630;40.4139601280
439536.2899617870;4473948.1339233100;2014-05-26;1900-01-08;1;Centro;11;1;Palacio;SEGOVIA, CALLE, DE;24;0301110029;-3.7126593440;40.4139598410
439316.9016010000;4473935.3773140000;2014-05-26;1900-01-08;1;Centro;11;1;Palacio;SEGOVIA, CALLE, DE;29;0301110026;-3.7152437850;40.4138285770
439271.2073171590;4473951.1297910800;2014-05-26;1900-01-08;1;Centro;11;1;Palacio;SEGOVIA, CALLE, DE;35;0301110025;-3.7157837980;40.4139675190
439117.4883088940;4473755.9851629800;2014-05-28;1900-01-08;1;Centro;11;1;Palacio;SEGOVIA, RONDA, DE;11;0301110060;-3.7175768690;40.4121981110
439073.2806642660;4473645.5760720700;2014-05-27;1900-01-08;1;Centro;11;1;Palacio;SEGOVIA, RONDA, DE;23;0301110052;-3.7180872600;40.4112008780
439157.6742593070;4473451.2330968700;2014-05-27;1900-01-08;1;Centro;11;1;Palacio;SEGOVIA, RONDA, DE;45;0301110053;-3.7170740410;40.4094561070
439216.8684741830;4473360.7027938300;2014-05-28;1900-01-08;1;Centro;11;1;Palacio;SEGOVIA, RONDA, DE;55;0301110068;-3.7163678710;40.4086451990
439356.2811550000;4473286.1154680000;2014-05-28;1900-01-08;1;Centro;11;1;Palacio;SEGOVIA, RONDA, DE;69;0301110071;-3.7147177520;40.4079830890
439479.5723309330;4473224.2427387400;2014-05-28;1900-01-08;1;Centro;11;1;Palacio;SEGOVIA, RONDA, DE;85;0301110075;-3.7132590020;40.4074343100
439922.1556642660;4474676.3260720700;2014-04-26;1900-01-08;1;Centro;11;1;Palacio;SILVA, CALLE, DE;2;0301110008;-3.7081804180;40.4205479390
439650.3949715650;4473258.8057326900;2014-05-29;1900-01-08;1;Centro;11;1;Palacio;TOLEDO, CALLE, DE;104;0301110074;-3.7112491800;40.4077584900
439941.0723309330;4473756.4094054000;2014-05-27;1900-01-08;1;Centro;11;1;Palacio;TOLEDO, CALLE, DE;43;0301110047;-3.7078706200;40.4122619960
439814.9056642660;4474700.9231795100;2014-05-26;1900-01-08;1;Centro;11;1;Palacio;TORIJA, CALLE, DE;2;0301110006;-3.7094468840;40.4207616530
439315.4988990000;4474040.4991780000;2014-07-01;1900-01-08;1;Centro;11;1;Palacio;VEGA, CUESTA, DE LA;1;0301120020;-3.7152703130;40.4147759620
439253.0677160000;4474038.7374520000;2014-07-01;1900-01-08;1;Centro;11;1;Palacio;VEGA, CUESTA, DE LA;3;0301120019;-3.7160060480;40.4147558520
439685.0561090000;4474340.0559210000;2014-05-26;1900-01-08;1;Centro;11;1;Palacio;VERGARA, CALLE, DE;9;0301110015;-3.7109431640;40.4175010640
439540.6985080000;4473987.0359070000;2014-05-26;1900-01-08;1;Centro;11;1;Palacio;VILLA, CALLE, DE LA;2;0301110028;-3.7126111580;40.4143104920
439594.5452090000;4473328.8837040000;2014-05-28;1900-01-08;1;Centro;11;1;Palacio;VIRGEN DE LA PALOMA, PLAZA, DE LA;5;0301110067;-3.7119139830;40.4083860510
439927.1851630000;4473440.6122180000;2014-05-28;1900-01-08;1;Centro;12;2;Embajadores;AMAZONAS, CALLE, DE LAS;1;0301210024;-3.7080044060;40.4094162290
440569.4511188120;4473100.7165679400;2014-05-30;1900-01-08;1;Centro;12;2;Embajadores;AMPARO, CALLE, DE;103;0301210064;-3.7004036050;40.4064005800
