CÓDIGO APARC;NOMBRE APARC;TIPO;PZS ROTACIÓN;PZS RESIDENTES;PZS DISUASORIAS;PZS TOTALES;NUM PLANTAS;ESTADO;PRIVADO;DISUASORIO;COD DISTRITO;DISTRITO;COD BARRIO;BARRIO;COD SER;LATITUD;LONGITUD;COD CATASTRO;URL;COD PK;DIRECCIÓN
906;VALLADOLID;RESIDENCIAL;;421;;421;2;ABIERTO;NO;NO;9;MONCLOA-ARAVACA     ;1;CASA DE CAMPO;91;40.430403855192;-3.73101574319727;8209804VK3785G0001KE;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=101215cbed51c010VgnVCM2000000c205a0aRCRD;13559;AVENIDA DE VALLADOLID NUM 10(P), 28008 MADRID
510;VALPARAISO;RESIDENCIAL;;582;;582;3;ABIERTO;NO;NO;5;CHAMARTÍN;4;HISPANOAMERICA;54;40.455004277244925; -3.680344106308375;2387705VK4728E0001MQ;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=61d57339ae51c010VgnVCM2000000c205a0aRCRD;13523;CALLE DE HERREROS DE TEJADA NUM 20, 28016 MADRID
424;VELÁZQUEZ AYALA;MIXTO;443;230;;673;3;ABIERTO;NO;NO;4;SALAMANCA           ;1;RECOLETOS;41;40.4272702030791;-3.68408892366904;2055320VK4725E;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=8bee15cbed51c010VgnVCM2000000c205a0aRCRD;13458;CALLE DE VELÁZQUEZ NUM 47(D) PLTA -1 PRTA 01, 28001 MADRID
423;VELÁZQUEZ JORGE JUAN;MIXTO;548;395;;943;4;ABIERTO;NO;NO;4;SALAMANCA           ;1;RECOLETOS;41;40.4242991698907;-3.68435762446743;2053114VK4725C;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=d11f15cbed51c010VgnVCM2000000c205a0aRCRD;13457;CALLE DE VELÁZQUEZ NUM 1 PLTA -1 PRTA 01, 28001 MADRID
5019;VELÁZQUEZ JUAN BRAVO;ROTACIONAL;371;;;371;0;EN OBRAS;NO;NO;4;SALAMANCA           ;6;CASTELLANA;46;40.4317523227148;-3.68345337033197;2161610VK4726A;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=e3077339ae51c010VgnVCM2000000c205a0aRCRD;13468;CALLE DE VELÁZQUEZ NUM 88(D) ESC T PLTA OD PRTA 01, 28006 MADRID
1524;VERDAGUER Y GARCÍA;MIXTO;83;91;;174;3;ABIERTO;NO;NO;15;CIUDAD LINEAL       ;5;SAN PASCUAL;0;40.4397163141475; -3.6566922711780356;4469101VK4746G0001DH;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=6245bdc85c01c010VgnVCM2000000c205a0aRCRD;183607;CALLE DE VERDAGUER Y GARCÍA NUM 2, 28027 MADRID
1110;VÍA CARPETANA;RESIDENCIAL;;309;;309;2;ABIERTO;NO;NO;11;CARABANCHEL         ;4;VISTA ALEGRE;0;40.3883114090483;-3.74448284806632;6913101VK3761D0001QG;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=b6dec2c6e051c010VgnVCM2000000c205a0aRCRD;61831;CALLE 0 VÍA CARPETANA NUM 209, 28047 MADRID
611;VICENTE GACEO;RESIDENCIAL;;268;;268;3;ABIERTO;NO;NO;6;TETUÁN              ;4;ALMENARA;64;40.4732429497997;-3.68824841198335;1707918VK4810F0001ED;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=67017339ae51c010VgnVCM2000000c205a0aRCRD;13513;CALLE DE VICENTE GACEO NUM 19(B), 28029 MADRID
5020;VILLA DE PARÍS;ROTACIONAL;169;;;169;5;ABIERTO;NO;NO;1;CENTRO              ;4;JUSTICIA;14;40.4251485828521;-3.69239569495104;1253601VK4715C;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=38a881eb5f51c010VgnVCM2000000c205a0aRCRD;13453;PLAZA DE LA VILLA DE PARÍS NUM 1(D), 28004 MADRID
1603;VILLA ROSA (PEDROÑERAS);RESIDENCIAL;;205;;205;2;ABIERTO;NO;NO;16;HORTALEZA           ;3;CANILLAS;0;40.4671801613405;-3.63060029600734;6600801VK4860B0001EB;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=544015cbed51c010VgnVCM2000000c205a0aRCRD;13606;CALLE DE LAS PEDROÑERAS NUM 42(P), 28043 MADRID
