FID,ID,NOMBRE,DESCRIPCION,DIRECCION,SDOGEOMETRIA,URL,EMAIL,CONTACTO,HORARIOS,PRECIOS,TITULARIDAD,TARJETAJOVEN,ACCESOPMR,LONGITUD
da_aparcamientosMoto.fid--175d4967_1a00d9bb795_2dac,65639,APARCAMOTOS_080,Esq. Keromnes,"CALLE MAESTRANZA, 27 ",POINT (374237.420928582 4064694.30132045),,,,24 h.,,MUNICIPAL,No,No,34
da_aparcamientosMoto.fid--175d4967_1a00d9bb795_2dad,65756,APARCAMOTOS_265,Esq. con Cl. Fernando Camino,"CALLE MAESTRANZA, 16 ",POINT (374170.238348601 4064699.46954121),,,,24 h.,,MUNICIPAL,No,No,10
da_aparcamientosMoto.fid--175d4967_1a00d9bb795_2dae,65775,APARCAMOTOS_315,Calle Rotonda de Suárez,"CALLE ROTONDA DE SUÁREZ, 3 ",POINT (371088.000046046 4065803.99990816),,,,,,MUNICIPAL,No,No,14
da_aparcamientosMoto.fid--175d4967_1a00d9bb795_2daf,65660,APARCAMOTOS_099,Esq. con Cl. Sondalezas,"PASAJE SONDALEZAS, 10 ",POINT (371301.434146869 4065027.09394179),,,,Laborables 8 a 15 h.,,MUNICIPAL,No,No,34
da_aparcamientosMoto.fid--175d4967_1a00d9bb795_2db0,65737,APARCAMOTOS_239,Esq. Cl. Villanueva de Tapia,"CALLE VILLANUEVA DE TAPIA, 15 ",POINT (369898.506468493 4060738.15271217),,,,24 h.,,MUNICIPAL,No,No,10
da_aparcamientosMoto.fid--175d4967_1a00d9bb795_2db1,65766,APARCAMOTOS_303,,"CALLE VENDEJA, 16 ",POINT (373002.99975342 4064394.99996894),,,,,,MUNICIPAL,No,No,20
da_aparcamientosMoto.fid--175d4967_1a00d9bb795_2db2,65713,APARCAMOTOS_224,Esq. con Cl. Sebastián Souvirón,"PLAZA DE ARRIOLA, 7 ",POINT (372774.294231694 4064597.49929532),,,,Laborables de 10 a 5h y no laborables 24h,,MUNICIPAL,No,No,30
da_aparcamientosMoto.fid--175d4967_1a00d9bb795_2db3,65717,APARCAMOTOS_130,Esq. con Cl. Atarazanas,"PLAZA DE ARRIOLA, 16 ",POINT (372804.701572112 4064551.77458033),,,,Motos de 00 a 17 h,,MUNICIPAL,No,No,14
da_aparcamientosMoto.fid--175d4967_1a00d9bb795_2db4,65715,APARCAMOTOS_060,Esq. con Cl. Atarazanas,"PLAZA DE ARRIOLA, 16 ",POINT (372786.378606336 4064554.96582079),,,,Laborables de 15 a 5h y no laborables 24h,,MUNICIPAL,No,No,22
da_aparcamientosMoto.fid--175d4967_1a00d9bb795_2db5,75489,APARCAMOTOS_341,,"CALLE SPITERI, 16 ",POINT (371277.445084586 4062852.4525467),,,,,,MUNICIPAL,No,No,5
da_aparcamientosMoto.fid--175d4967_1a00d9bb795_2db6,65683,APARCAMOTOS_158,Frente al nº 29,"CALLE CÉSAR VALLEJO, 26 ",POINT (366777.866590966 4062187.04537692),,,,24h,,MUNICIPAL,No,No,22
da_aparcamientosMoto.fid--175d4967_1a00d9bb795_2db7,65593,APARCAMOTOS_202,,"CALLE DOCTOR GUTIÉRREZ CALZADA, 2 ",POINT (370666.426448418 4065093.37246429),,,,24 h,,MUNICIPAL,No,No,39
da_aparcamientosMoto.fid--175d4967_1a00d9bb795_2db8,65871,APARCAMOTOS_329,,"CALLE OLLETAS, 3 ",POINT (373616.000039815 4066424.00008473),,,,,,MUNICIPAL,No,No,
da_aparcamientosMoto.fid--175d4967_1a00d9bb795_2db9,65832,APARCAMOTOS_110,Esq.Alicia Larrocha,"CALLE MARILYN MONROE, 6 ",POINT (370046.607787609 4060482.18258414),,,,24 h.,,MUNICIPAL,No,No,19
da_aparcamientosMoto.fid--175d4967_1a00d9bb795_2dba,65807,APARCAMOTOS_291,,"PLAZA DEL TEATRO, 2 ",POINT (373105.544723377 4065158.48782911),,,,,,MUNICIPAL,No,No,30
da_aparcamientosMoto.fid--175d4967_1a00d9bb795_2dbb,65845,APARCAMOTOS_301_,,"PASEO MARTIRICOS, 28 ",POINT (372589.442945794 4065854.31747587),,,,24 h.,,MUNICIPAL,No,No,20
da_aparcamientosMoto.fid--175d4967_1a00d9bb795_2dbc,65783,APARCAMOTOS_322,,"CALLE MENORCA, 3 ",POINT (370134.999561333 4061730.99994264),,,,,,MUNICIPAL,No,No,5
