FID,ID,NOMBRE,DESCRIPCION,DIRECCION,SDOGEOMETRIA,URL,EMAIL,CONTACTO,HORARIOS,PRECIOS,TITULARIDAD,TARJETAJOVEN,ACCESOPMR,LONGITUD
da_aparcamientosMoto.fid--175d4967_1a012c2fafb_2716,65617,APARCAMOTOS_003,Esquina Casas de Campos,"CALLE CASAS DE CAMPOS, 35 ",POINT (-4.424760000018271 36.71563203762142),,,,Laborables 8 a 20 h.,,MUNICIPAL,No,No,20
da_aparcamientosMoto.fid--175d4967_1a012c2fafb_2717,78442,APARCAMOTOS_372,"C/ Vega N.º 22, esquina con C/ Caño","CALLE DE LA VEGA, 22 ",POINT (-4.50178926777043 36.66836925839527),,,,,,MUNICIPAL,No,No,9
da_aparcamientosMoto.fid--175d4967_1a012c2fafb_2718,65607,APARCAMOTOS_217,Esq. con Cl. Juan Sebastian Bach,"CALLE JUAN SEBASTIÁN BACH, 5 ",POINT (-4.449969000018912 36.69500203759508),,,,24 h,,MUNICIPAL,No,No,6
da_aparcamientosMoto.fid--175d4967_1a012c2fafb_2719,65805,APARCAMOTOS_289,,"CALLE MALPICA, 12 ",POINT (-4.429689000018404 36.7150290376206),,,,,,MUNICIPAL,No,No,14
da_aparcamientosMoto.fid--175d4967_1a012c2fafb_271a,65588,APARCAMOTOS_193,Esq. Jonas,"CALLE SANTA MARÍA MICAELA, 4 ",POINT (-4.417117000018116 36.731590037641716),,,,24 h,,MUNICIPAL,No,No,12
da_aparcamientosMoto.fid--175d4967_1a012c2fafb_271b,65731,APARCAMOTOS_231,A la altura del nº 5,"CALLE SAN MILLÁN, 3 ",POINT (-4.420162000018178 36.727017037635875),,,,,,MUNICIPAL,No,No,8
da_aparcamientosMoto.fid--175d4967_1a012c2fafb_271c,65629,APARCAMOTOS_053,Frente esquina c/ Arapiles,"CALLE SAN MILLÁN, 12 ",POINT (-4.419749000018181 36.728965037638396),,,,Lectivos 8 a 20 h.,,MUNICIPAL,No,No,24
da_aparcamientosMoto.fid--175d4967_1a012c2fafb_271d,65638,APARCAMOTOS_081,Esq. Jurado de Parra,"CALLE PADRE LERCHUNDI, 3 ",POINT (-4.355420000016572 36.71994203762707),,,,24 h,,MUNICIPAL,No,No,8
da_aparcamientosMoto.fid--175d4967_1a012c2fafb_271e,65732,APARCAMOTOS_232,A la altura del número 3,"CALLE DIEGO VÁZQUEZ OTERO, 6 ",POINT (-4.4392300000186715 36.71755503762381),,,,,,MUNICIPAL,No,No,12
da_aparcamientosMoto.fid--175d4967_1a012c2fafb_271f,65723,APARCAMOTOS_154,,"AVENIDA DE PRÍES, 10 ",POINT (-4.40677500001782 36.72108103762836),,,,24 h,,MUNICIPAL,No,No,7
da_aparcamientosMoto.fid--175d4967_1a012c2fafb_2720,65632,APARCAMOTOS_074,Esq. Avenida Juan Sebastián Elcano,"CALLE ARQUITECTO EDUARDO ESTEVE, 2 ",POINT (-4.362996000016747 36.72132903762884),,,,24 h.,,MUNICIPAL,No,No,16
da_aparcamientosMoto.fid--175d4967_1a012c2fafb_2721,65801,APARCAMOTOS_280,Esq. con Cl. Federica Montseny,"CALLE MAR, 20 ",POINT (-4.359052000016652 36.719827037626885),,,,24 h.,,MUNICIPAL,No,No,10
da_aparcamientosMoto.fid--175d4967_1a012c2fafb_2722,65740,APARCAMOTOS_240,Esq. Cl. Trinidad,"CALLE MALASAÑA, 3 ",POINT (-4.427199000018365 36.723318037631216),,,,24 h.,,MUNICIPAL,No,No,15
da_aparcamientosMoto.fid--175d4967_1a012c2fafb_2723,65767,APARCAMOTOS_304,,"CALLE TOMÁS ECHEVERRÍA, 12 ",POINT (-4.433664240018482 36.70304781760534),,,,,,MUNICIPAL,No,No,10
da_aparcamientosMoto.fid--175d4967_1a012c2fafb_2724,65830,APARCAMOTOS_112,Esq. Plaza Reina Manescau,"CALLE MUÑOZ DEGRAIN, 2 ",POINT (-4.434843000018516 36.70567803760874),,,,Motos 8 a 20 h.,,MUNICIPAL,No,No,16
